"Chinese","Pinyin","English","Part of Speech","HSK Level"
"啊","a","ah; sentence particle","part.","HSK 2"
"爱好","àihào","to like; to enjoy; interest","v./n.","HSK 2"
"白色","báisè","white","n.","HSK 2"
"班","bān","class; shift","n.","HSK 2"
"帮","bāng","to help; to assist","v.","HSK 2"
"帮忙","bāngmáng","to help; to lend a hand","v.","HSK 2"
"包","bāo","bag; package; to wrap","v./n.","HSK 2"
"本子","běnzi","notebook","n.","HSK 2"
"比","bǐ","than; to compare","prep./v.","HSK 2"
"笔","bǐ","pen","n.","HSK 2"
"别","bié","don't","adv.","HSK 2"
"不错","búcuò","not bad; correct","adj.","HSK 2"
"不好意思","bùhǎoyìsi","excuse me; sorry","interj.","HSK 2"
"长","cháng","long","adj.","HSK 2"
"车站","chēzhàn","station; bus stop","n.","HSK 2"
"出","chū","to go out; to come out","v.","HSK 2"
"出国","chūguó","to go abroad","v.","HSK 2"
"出来","chūlái","to come out","v.","HSK 2"
"出门","chūmén","to go out; to leave home","v.","HSK 2"
"出去","chūqù","to go out","v.","HSK 2"
"床","chuáng","bed","n.","HSK 2"
"词","cí","word","n.","HSK 2"
"次","cì","m.w. for events; time","m.w.","HSK 2"
"从","cóng","from","prep.","HSK 2"
"从小","cóngxiǎo","from childhood","adv.","HSK 2"
"错","cuò","wrong; mistake","adj.","HSK 2"
"打","dǎ","to hit; to do","v.","HSK 2"
"打车","dǎchē","to take a taxi","v.","HSK 2"
"打开","dǎkāi","to open; to turn on","v.","HSK 2"
"但","dàn","but","conj.","HSK 2"
"但是","dànshì","but","conj.","HSK 2"
"得","de","complement particle","part.","HSK 2"
"地","de","adverbial particle","part.","HSK 2"
"等","děng","to wait; and so on","v.","HSK 2"
"地铁","dìtiě","subway","n.","HSK 2"
"点","diǎn","to order (food)","v.","HSK 2"
"懂","dǒng","to understand","v.","HSK 2"
"动","dòng","to move","v.","HSK 2"
"饭馆","fànguǎn","restaurant","n.","HSK 2"
"飞","fēi","to fly","v.","HSK 2"
"高","gāo","high; tall","adj.","HSK 2"
"高中","gāozhōng","high school","n.","HSK 2"
"告诉","gàosu","to tell; to inform","v.","HSK 2"
"个子","gèzi","height; stature","n.","HSK 2"
"跟","gēn","with; and","prep./conj.","HSK 2"
"公交车","gōngjiāochē","bus","n.","HSK 2"
"过","guò","to cross; to pass; to live","v.","HSK 2"
"过","guo","experienced-action particle","part.","HSK 2"
"过来","guòlái","to come over","v.","HSK 2"
"过年","guònián","to celebrate New Year","v.","HSK 2"
"过去","guòqù","to go over; to pass","v.","HSK 2"
"还是","háishi","or; still","conj./adv.","HSK 2"
"黑色","hēisè","black","n.","HSK 2"
"红茶","hóngchá","black tea","n.","HSK 2"
"红色","hóngsè","red","n.","HSK 2"
"后面","hòumiàn","the back; behind","n.","HSK 2"
"花","huā","to spend","v.","HSK 2"
"花","huā","flower","n.","HSK 2"
"画","huà","to draw; to paint; picture","v./n.","HSK 2"
"坏","huài","bad; broken","adj.","HSK 2"
"回来","huílái","to come back","v.","HSK 2"
"回去","huíqù","to go back","v.","HSK 2"
"机场","jīchǎng","airport","n.","HSK 2"
"机票","jīpiào","plane ticket","n.","HSK 2"
"记得","jìde","to remember","v.","HSK 2"
"间","jiān","m.w. for rooms","m.w.","HSK 2"
"教","jiāo","to teach","v.","HSK 2"
"教室","jiàoshì","classroom","n.","HSK 2"
"介绍","jièshào","to introduce","v.","HSK 2"
"进","jìn","to enter; to go in","v.","HSK 2"
"近","jìn","near; close","adj.","HSK 2"
"进来","jìnlái","to come in","v.","HSK 2"
"进去","jìnqù","to go in","v.","HSK 2"
"经常","jīngcháng","frequently; often","adv.","HSK 2"
"酒店","jiǔdiàn","hotel","n.","HSK 2"
"就","jiù","then; right away","adv.","HSK 2"
"咖啡","kāfēi","coffee","n.","HSK 2"
"开始","kāishǐ","to begin; beginning","v./n.","HSK 2"
"开学","kāixué","school starts","v.","HSK 2"
"考","kǎo","to test; to take an exam","v.","HSK 2"
"考试","kǎoshì","exam; to take an exam","n./v.","HSK 2"
"可能","kěnéng","might; possible","adj./adv.","HSK 2"
"裤子","kùzi","trousers; pants","n.","HSK 2"
"快","kuài","fast; quick","adj./adv.","HSK 2"
"快乐","kuàilè","happy; joyful","adj.","HSK 2"
"快要","kuàiyào","about to","adv.","HSK 2"
"篮球","lánqiú","basketball","n.","HSK 2"
"累","lèi","tired; weary","adj.","HSK 2"
"离","lí","from; away from","prep.","HSK 2"
"里面","lǐmiàn","inside","n.","HSK 2"
"楼","lóu","building; floor","n.","HSK 2"
"路","lù","road; route","n.","HSK 2"
"路上","lùshang","on the way","n.","HSK 2"
"旅游","lǚyóu","to travel; tourism","v./n.","HSK 2"
"绿茶","lǜchá","green tea","n.","HSK 2"
"绿色","lǜsè","green","n.","HSK 2"
"慢","màn","slow","adj.","HSK 2"
"没意思","méiyìsi","boring","adj.","HSK 2"
"每","měi","every","pron.","HSK 2"
"门","mén","door; gate","n.","HSK 2"
"门口","ménkǒu","doorway; entrance","n.","HSK 2"
"门票","ménpiào","ticket (admission)","n.","HSK 2"
"面","miàn","side; aspect","suff.","HSK 2"
"名","míng","name; m.w. for people","n./m.w.","HSK 2"
"拿","ná","to hold; to take","v.","HSK 2"
"那么","nàme","so; that way","pron./conj.","HSK 2"
"那样","nàyàng","that way; like that","pron.","HSK 2"
"奶茶","nǎichá","milk tea","n.","HSK 2"
"奶奶","nǎinai","grandma","n.","HSK 2"
"男孩儿","nánháir","boy","n.","HSK 2"
"鸟","niǎo","bird","n.","HSK 2"
"女孩儿","nǚháir","girl","n.","HSK 2"
"旁边","pángbiān","beside; next to","n.","HSK 2"
"跑","pǎo","to run","v.","HSK 2"
"跑步","pǎobù","to run; to jog","v.","HSK 2"
"票","piào","ticket","n.","HSK 2"
"妻子","qīzi","wife","n.","HSK 2"
"起来","qǐlái","to get up; to stand up","v.","HSK 2"
"前面","qiánmiàn","ahead; in front","n.","HSK 2"
"晴","qíng","clear; sunny","adj.","HSK 2"
"球","qiú","ball","n.","HSK 2"
"让","ràng","to let; to allow","v.","HSK 2"
"肉","ròu","meat","n.","HSK 2"
"商场","shāngchǎng","shopping mall","n.","HSK 2"
"上来","shànglái","to come up","v.","HSK 2"
"上面","shàngmiàn","on top; above","n.","HSK 2"
"上去","shàngqù","to go up","v.","HSK 2"
"上网","shàngwǎng","to go online","v.","HSK 2"
"身体","shēntǐ","body; health","n.","HSK 2"
"生日","shēngrì","birthday","n.","HSK 2"
"时","shí","time; o'clock","n.","HSK 2"
"事情","shìqing","matter; affair","n.","HSK 2"
"手","shǒu","hand","n.","HSK 2"
"手表","shǒubiǎo","wristwatch","n.","HSK 2"
"书包","shūbāo","schoolbag","n.","HSK 2"
"舒服","shūfu","comfortable","adj.","HSK 2"
"送","sòng","to send; to deliver; to give","v.","HSK 2"
"虽然","suīrán","although","conj.","HSK 2"
"所以","suǒyǐ","so; therefore","conj.","HSK 2"
"疼","téng","painful; sore","adj.","HSK 2"
"踢","tī","to kick","v.","HSK 2"
"题","tí","question; problem","n.","HSK 2"
"条","tiáo","m.w. for long things","m.w.","HSK 2"
"跳舞","tiàowǔ","to dance","v.","HSK 2"
"头","tóu","head","n.","HSK 2"
"外国","wàiguó","foreign country","n.","HSK 2"
"外面","wàimiàn","outside","n.","HSK 2"
"完","wán","to finish","v.","HSK 2"
"万","wàn","ten thousand","num.","HSK 2"
"往","wǎng","toward; to","prep.","HSK 2"
"网上","wǎngshang","online","n.","HSK 2"
"忘","wàng","to forget","v.","HSK 2"
"位","wèi","m.w. for people (polite)","m.w.","HSK 2"
"为什么","wèishénme","why","pron.","HSK 2"
"希望","xīwàng","to hope; hope","v./n.","HSK 2"
"洗","xǐ","to wash","v.","HSK 2"
"洗手间","xǐshǒujiān","restroom; washroom","n.","HSK 2"
"下来","xiàlái","to come down","v.","HSK 2"
"下面","xiàmiàn","below; under","n.","HSK 2"
"下去","xiàqù","to go down","v.","HSK 2"
"小孩儿","xiǎohái'er","child; kid","n.","HSK 2"
"小时候","xiǎoshíhou","in one's childhood","n.","HSK 2"
"笑","xiào","to laugh; to smile","v.","HSK 2"
"姓","xìng","family name","n./v.","HSK 2"
"姓名","xìngmíng","full name","n.","HSK 2"
"颜色","yánsè","color","n.","HSK 2"
"眼睛","yǎnjing","eye","n.","HSK 2"
"药","yào","medicine","n.","HSK 2"
"药店","yàodiàn","pharmacy","n.","HSK 2"
"爷爷","yéye","grandpa","n.","HSK 2"
"一会儿","yíhuìr","a little while","expr.","HSK 2"
"已经","yǐjīng","already","adv.","HSK 2"
"一起","yìqǐ","together","adv.","HSK 2"
"意思","yìsi","meaning; idea","n.","HSK 2"
"阴","yīn","overcast; cloudy","adj.","HSK 2"
"因为","yīnwèi","because","conj.","HSK 2"
"游","yóu","to swim; to tour","v.","HSK 2"
"游泳","yóuyǒng","to swim; swimming","v.","HSK 2"
"有意思","yǒuyìsi","interesting","adj.","HSK 2"
"有时","yǒushí","sometimes","adv.","HSK 2"
"右","yòu","right; right side","n.","HSK 2"
"右边","yòubian","right side","n.","HSK 2"
"鱼","yú","fish","n.","HSK 2"
"远","yuǎn","far; distant","adj.","HSK 2"
"运动","yùndòng","to exercise; sports","v./n.","HSK 2"
"站","zhàn","station; stop","n.","HSK 2"
"丈夫","zhàngfu","husband","n.","HSK 2"
"这么","zhème","so much; this much","pron.","HSK 2"
"这样","zhèyàng","this way; like this","pron.","HSK 2"
"着","zhe","ongoing-state particle","part.","HSK 2"
"正","zhèng","just (at that moment)","adv.","HSK 2"
"周","zhōu","week","n.","HSK 2"
"准备","zhǔnbèi","to prepare; preparation","v./n.","HSK 2"
"自己","zìjǐ","oneself","pron.","HSK 2"
"走","zǒu","to walk; to go","v.","HSK 2"
"走路","zǒulù","to walk; to go on foot","v.","HSK 2"
"足球","zúqiú","soccer","n.","HSK 2"
"最","zuì","most; -est","adv.","HSK 2"
"左","zuǒ","left; left side","n.","HSK 2"
"左边","zuǒbian","left side","n.","HSK 2"